Audio,Owner,Ps. Initials,Ps. Age,Ps. Gender,Ps. Microphone
../Dataset/Kick/Kick1.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare1.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare2.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH1.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick2.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare3.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare4.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH2.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare5.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare6.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare7.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare8.wav,VM,MTP,31,Female,laptop
../Dataset/Snare/Snare9.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH3.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH4.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH5.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH6.wav,VM,MTP,31,Female,laptop
../Dataset/HH/HH7.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick3.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick4.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick5.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick6.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick7.wav,VM,MTP,31,Female,laptop
../Dataset/Kick/Kick8.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick9.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick10.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick11.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick12.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick13.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick14.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick15.wav,VM,LML,38,Male,Elgato
../Dataset/HH/HH8.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick16.wav,VM,LML,38,Male,Elgato
../Dataset/Snare/Snare10.wav,VM,LML,38,Male,Elgato
../Dataset/HH/HH9.wav,VM,LML,38,Male,Elgato
../Dataset/Kick/Kick17.wav,VM,LML,38,Male,Elgato
