0.000000000,Kick
0.107755102,Kick
0.177959184,HH
0.370612245,HH
0.377142857,HH
0.494693878,HH
0.612244898,HH
0.734693878,HH
0.821224490,Snare
0.912653061,Snare
1.043265306,HH
1.214693878,HH
1.250612245,HH
1.381224490,HH
1.457959184,HH
1.617959184,HH
1.696326531,Kick
1.794285714,Kick
1.902040816,HH
2.063673469,HH
2.127346939,HH
2.287346939,HH
2.347755102,HH
2.484897959,HH
2.577959184,Snare
2.679183673,Snare
2.791836735,HH
2.981224490,HH
3.020408163,HH
3.182040816,HH
3.222857143,HH
3.366530612,HH
3.475918367,Kick
3.586938776,Kick
3.653877551,HH
3.799183673,HH
3.840000000,HH
3.990204082,HH
4.040816327,HH
4.212244898,HH
4.282448980,Snare
4.417959184,Snare
4.489795918,HH
4.656326531,HH
4.697142857,HH
4.835918367,HH
4.902857143,HH
5.095510204,HH
5.186938776,Kick
5.278367347,Kick
5.376326531,HH
5.536326531,HH
5.564081633,HH
5.761632653,HH
5.791020408,HH
5.965714286,HH
6.022857143,Snare
6.112653061,Snare
6.215510204,HH
6.395102041,HH
6.403265306,HH
6.548571429,HH
6.577959184,HH
6.788571429,HH
