0.000476190,Kick
0.135510204,Kick
0.181405896,HH
0.271836735,HH
0.448435374,Kick
0.511836735,Kick
0.635646259,HH
0.698775510,HH
0.863492063,Snare
0.971428571,Snare
1.732789116,Kick
1.809795918,Kick
1.909841270,HH
2.022857143,HH
2.153650794,Kick
2.218775510,Kick
2.343764172,HH
2.404897959,HH
2.580317460,Snare
2.692244898,Snare
3.448163265,Kick
3.532244898,Kick
3.638276644,HH
3.744489796,HH
3.890793651,Kick
3.990204082,Kick
4.072199546,HH
4.166530612,HH
4.298594104,Snare
4.405714286,Snare
5.169342404,Kick
5.258775510,Kick
5.355102041,HH
5.422040816,HH
5.593106576,Kick
5.656326531,Kick
5.775963719,HH
5.856326531,HH
6.009614512,Snare
6.186938776,Snare
