audio_class,duration,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean_1,spectral_contrast_mean_2,spectral_contrast_mean_3,spectral_contrast_mean_4,spectral_contrast_mean_5,spectral_contrast_mean_6,spectral_contrast_mean_7,spectral_contrast_std_1,spectral_contrast_std_2,spectral_contrast_std_3,spectral_contrast_std_4,spectral_contrast_std_5,spectral_contrast_std_6,spectral_contrast_std_7,spectral_flatness_mean,spectral_flatness_std
Kick,3719.0,-366.03607177734375,73.6385498046875,3.6871914863586426,71.41551971435547,13.602019309997559,18.021753311157227,30.88788414001465,26.355566024780273,-0.17655740678310394,4.9927144050598145,128.17750549316406,23.16230583190918,10.664875030517578,10.319279670715332,15.578850746154785,8.10352611541748,13.240875244140625,10.28376293182373,7.487796306610107,7.052328586578369,0.05358152230713517,0.06147236477294169,3692.7175589516787,1245.6494256286567,7760.56640625,2224.756803530248,4587.457995848968,822.1232272929669,4.016205596127301,5.48949999038727,7.631823702119787,7.892764617741937,11.941806796139195,14.625264528057466,26.649324217095323,4.018915670575144,3.590066146751177,3.140576562466085,2.914354637448332,4.679626819784609,2.5616180707866683,2.284994838416171,0.008020979352295399,0.0097001688554883
Kick,8527.0,-471.1070251464844,118.66677856445312,38.00495529174805,32.6095085144043,16.389476776123047,19.373577117919922,13.684320449829102,23.639846801757812,12.614829063415527,2.3309600353240967,153.3564453125,34.3145866394043,17.321386337280273,19.467241287231445,13.400334358215332,13.963910102844238,8.25000286102295,11.521208763122559,17.92323112487793,8.765872955322266,0.026830180087977138,0.04037548325257586,2189.372475481075,1436.1795872513458,4297.641674440299,4190.006708180936,3990.1806387580286,1063.0898549881426,5.115706973557217,3.1433439166363497,10.466677564082621,10.000413109196632,12.972415810936829,16.698041806379223,30.260532894339207,4.267833961215676,2.4450273828414257,4.160106752832888,3.844353209977953,3.4459478591712025,4.0228805483117425,5.097025120182474,0.0049248686991631985,0.01624697633087635
Kick,10980.0,-356.0760498046875,151.80532836914062,14.914885520935059,57.3901252746582,32.01560974121094,19.297670364379883,-1.702407717704773,-14.553242683410645,14.679123878479004,5.835615158081055,100.37179565429688,48.818538665771484,18.343141555786133,22.576120376586914,36.77006530761719,7.7667555809021,15.368169784545898,23.563783645629883,6.747087001800537,3.824113368988037,0.0790459340229737,0.056065422785664135,2363.776136508063,2303.002880896702,4933.6073764534885,6465.842682181261,3513.948794179247,1976.2142873345508,5.966779531411632,2.0624644072983753,10.562688154262396,12.676270409396809,11.439541834476625,15.13809543121423,26.539352178689242,5.090341863633962,2.1814977417480392,3.997688628722381,4.405188021481733,2.997733700169656,3.737241487029862,1.915859032790497,0.009337148629128933,0.021413244307041168
Kick,5056.0,-375.1611633300781,168.80482482910156,-30.542278289794922,39.57018280029297,14.108197212219238,-2.4013028144836426,21.358806610107422,-9.27053451538086,2.0872597694396973,2.594512462615967,133.77462768554688,49.37963104248047,35.254859924316406,31.220611572265625,12.412692070007324,11.416539192199707,14.93642807006836,20.083696365356445,8.187742233276367,8.74235725402832,0.05990189672692877,0.06946439919392662,1705.6812159681638,563.0579545854526,3652.03125,962.5703085448937,2199.279815359073,331.0958642895825,7.07773619997374,3.4400123300597927,7.356657978028207,8.220098416777267,10.401241509284343,13.486500000953328,41.26967687966152,4.604324494350477,3.8997888347535175,4.137529892177454,3.696135329167674,3.3273932472798715,4.340362071346807,5.7856761283142895,0.0005762932123616338,0.0011567886685952544
Kick,7104.0,-425.7156677246094,134.46304321289062,11.628229141235352,36.131587982177734,16.95558738708496,0.6209111213684082,17.18617057800293,4.485175132751465,4.737120628356934,3.2566123008728027,155.8334503173828,72.00948333740234,49.267608642578125,16.61486053466797,16.912832260131836,18.174453735351562,12.502012252807617,16.273269653320312,10.851781845092773,9.62553596496582,0.06290143732166095,0.09168793447194697,1299.0643296555513,758.8651682856367,2728.564453125,1883.2880956426775,2009.2381053689394,646.6058452036094,4.366707950747431,3.77093235206369,7.698824774699864,9.230202673867995,13.586127474138175,14.024636855157501,31.190810380548925,4.855729179220828,3.104312581853998,3.0355473091270215,3.4349267936618566,5.009294236000514,3.3342156304082136,7.70732409603777,0.0003388994955457747,0.0006561028421856463
Kick,8321.0,-387.6683349609375,156.6896514892578,32.85177993774414,42.68912887573242,21.6910400390625,25.287769317626953,10.494940757751465,8.419779777526855,12.05634880065918,-0.9940021634101868,75.64327239990234,29.91162872314453,25.692663192749023,6.0049896240234375,25.76576042175293,8.280298233032227,13.552352905273438,14.373067855834961,9.444664001464844,7.309975624084473,0.09978855796937419,0.057018167807895134,1184.4209341216024,1126.5968178684443,2055.4421164772725,3098.2747858421826,2469.1068710830627,1247.9296709403252,11.981914656263607,2.770237573882512,15.054938288316835,10.836021465559218,12.212366556651613,15.841779082951444,34.41603934143665,6.129099940041233,1.439780295994803,4.363354242242724,4.222716695298649,3.233497555139352,3.240774852187907,3.6139836861233516,0.0013641363475471735,0.004475923255085945
Kick,7584.0,-357.8443603515625,128.4859161376953,21.002708435058594,66.96874237060547,19.988849639892578,28.42146110534668,16.378755569458008,14.105545997619629,4.318626880645752,-4.319314479827881,105.28459167480469,46.52142333984375,16.902135848999023,17.031448364257812,16.552139282226562,15.798501014709473,10.328449249267578,15.399916648864746,7.123494625091553,7.840349197387695,0.06371250216949656,0.04248203263775707,2518.05641842428,2105.5255617753023,5261.279296875,5450.950310430753,3696.347507769679,1725.894968957463,3.336050003055352,2.4399130290648823,12.210873566504226,8.181631737965906,11.485157053747988,14.11007909940457,28.58785134375719,3.4946052398907055,2.244927462468451,3.239103188533099,3.20264084315641,2.734130674879903,3.876341628300662,2.490346597363354,0.00647649634629488,0.01188295241445303
Kick,7687.0,-350.644287109375,192.10818481445312,59.049888610839844,31.770145416259766,2.3078391551971436,28.787763595581055,11.224593162536621,-1.0548605918884277,11.126813888549805,-18.205886840820312,56.75096130371094,36.61528396606445,27.08017349243164,12.20469856262207,35.08148956298828,17.24953269958496,16.150829315185547,12.735806465148926,16.26870346069336,11.959834098815918,0.15715639181349694,0.07825297718290755,872.2841208120037,790.2522965956773,1441.665599385246,2175.6499907526077,2028.2982104198795,934.8839954749592,10.248807290268052,3.3993208956772922,12.017919305758031,10.955770707499378,13.657119706538223,16.394479133542582,28.62736103651799,4.801818522043794,2.58793138094865,5.3154664606682775,4.054959757149057,4.2876027130034915,3.284358693869571,2.5707950192933695,0.00039516191463917494,0.0010915471939370036
Kick,8815.0,-528.2328491210938,152.36492919921875,-47.28032302856445,65.81239318847656,6.233036518096924,6.886048316955566,12.105074882507324,-14.191571235656738,-1.9329792261123657,13.732992172241211,154.4242401123047,47.26041793823242,34.40215301513672,26.89533805847168,37.088356018066406,13.160588264465332,20.473548889160156,21.756765365600586,10.042364120483398,15.334005355834961,0.007640408401955957,0.005927785858261824,2305.856466792864,975.4730310190643,4823.4375,1441.650577035788,2668.858130028451,423.3604441878505,10.080185360989162,2.4518369082926474,9.391584226776729,10.341116589032678,14.115253055789102,19.13613666398746,42.155675162847395,6.0373868368230985,2.5368186561711803,5.829497239440536,4.095473675987395,5.213351298344388,4.956856363228825,4.270625268239499,0.0011652427492663264,0.0019399035954847932
Kick,8446.0,-401.71551513671875,159.951416015625,60.68965148925781,33.63338088989258,17.270790100097656,14.315855979919434,6.083433151245117,1.998694896697998,5.763621807098389,7.957674026489258,86.9462661743164,32.07282257080078,11.477819442749023,12.70037841796875,17.148290634155273,11.460064888000488,11.952621459960938,7.464987754821777,7.62233304977417,6.38001823425293,0.044984616363702865,0.024841484572062287,1676.004728490214,1643.6964587064213,2877.618963068182,4761.445248442988,3460.3381194215735,1438.6423638727097,4.858442866773211,4.223996867754183,11.457581754577443,12.563655822020888,14.727325703741327,16.585435032312386,27.466854465789336,3.779736718921043,2.879801406490762,3.8329968364509686,3.642814211318154,3.6831565502810104,4.44893363301825,3.737138200891625,0.0033446094021201134,0.010332660749554634
