Audio,Precision,Recall,F1-Score,Accuracy
../../RawDataset/MTP_1617476751923/HH_MTP.wav,0.9977289244186046,0.576505170332266,0.7307628330949133,0.7789281031468531
../../RawDataset/MTP_1617476751923/Snare_MTP.wav,1.0,0.5542827883841709,0.7132328718127312,0.7919375546328671
../../RawDataset/MTP_1617476751923/Kick_MTP.wav,0.9444444444444444,0.5073665495985195,0.660112812248187,0.76658203125
../../RawDataset/MTP_1617476751923/Freestyle_MTP.wav,1.0,0.4601279195388013,0.6302569978719921,0.7270024365717822
../../RawDataset/MAF/MafP2.wav,0.883856411637931,0.6242114713454187,0.7316823299428178,0.7450973252118644
../../RawDataset/MAF/MafI2.wav,0.9082961309523809,0.5577915278438839,0.6911454217336431,0.653270656779661
../../RawDataset/AZI/AZiI2.wav,0.9289396818693694,0.46353188052048394,0.6184588170518843,0.5687301377118644
../../RawDataset/AZI/AZiP2.wav,0.8852203602099237,0.6597238812189228,0.7560156491234773,0.7462758209745762
../../RawDataset/LML_1617020140983/HH_LML.wav,0.9158715420081968,0.5888122684232194,0.7167969728862829,0.6321126302083333
../../RawDataset/LML_1617020140983/Snare_LML.wav,1.0,0.46926665334947065,0.6387767016690792,0.5758807842548077
../../RawDataset/LML_1617020140983/Freestyle_LML.wav,0.9753230168269231,0.5838134369045545,0.7304128912938761,0.6657322474888393
../../RawDataset/LML_1617020140983/Kick_LML.wav,0.9906494140625,0.3947716615103224,0.5645652748598222,0.5633928571428571
../../RawDataset/JVS_1617180378425/HH_JVS.wav,0,0,0,0
../../RawDataset/JVS_1617180378425/Kick_JVS.wav,0.5431640625,0.9652898299201667,0.6951631046119237,0.9532973345588235
../../RawDataset/JVS_1617180378425/Snare_JVS.wav,1.0,0.5247581833322658,0.6883165987480571,0.8831432711693549
../../RawDataset/JVS_1617180378425/Freestyle_JVS.wav,0.7457792637711864,0.8614940440909352,0.7994712421373883,0.8819612717245989
../../RawDataset/BIC/BicI2.wav,0.9434071787587412,0.6870971271685501,0.7951065936089879,0.764307468220339
../../RawDataset/BIC/BicP2.wav,0.8144818474264706,0.5208598648119123,0.6353892805927343,0.6767942266949153
../../RawDataset/MOB_1616751225808/Freestyle_MOB.wav,0.8033567994505495,0.7873038576416642,0.7952493254297065,0.8370366612554112
../../RawDataset/MOB_1616751225808/Kick_MOB.wav,0.9739118303571429,0.5739537942941708,0.7222595830531271,0.9107546542553191
../../RawDataset/MOB_1616751225808/HH_MOB.wav,0.9979717548076923,0.831785453407075,0.907331732137369,0.9583759407722513
../../RawDataset/MOB_1616751225808/Snare_MOB.wav,0.9690104166666667,0.8490829744145583,0.9050912905334529,0.9702600990853658
../../RawDataset/CAT/CatP2.wav,0.8739776611328125,0.7702248399763326,0.8188277340957827,0.8321901483050848
../../RawDataset/CAT/CatI2.wav,0.9954927884615384,0.6853847596020196,0.8118325886276356,0.8373113082627118
../../RawDataset/ISA/IsaI2.wav,0.9163449309593024,0.5148002602804395,0.6592407421022966,0.7238347457627119
../../RawDataset/ISA/IsaP2.wav,0.9021929572610294,0.7546488720178748,0.8218514109289761,0.8196835275423728
../../RawDataset/APL_1616757118902/Freestyle_APL.wav,0.905167289402174,0.41998000423555604,0.573750803193261,0.6034185947516025
../../RawDataset/APL_1616757118902/HH_APL.wav,1.0,0.3986705915867439,0.5700707428680055,0.7189009232954545
../../RawDataset/APL_1616757118902/Snare_APL.wav,0.9739583333333334,0.3993634170131937,0.5664562261980179,0.7404305594308036
../../RawDataset/APL_1616757118902/Kick_APL.wav,0.8236328125,0.2878975549335336,0.4266583798862495,0.6586978593061674
